city,long,lat,population
New York,-73.94,40.73,18937000.00
Los Angeles,-118.24,34.05,12534000.00
Houston,-95.36,29.75,6707000.00
Miami,-80.19,25.76,6265000.00
Seattle,-122.34,47.61,3519000.00
Buffalo,-78.88,42.88,884000.00
Raleigh,-78.64,35.79,1591000.00
